UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,is_failure,failure_type
51,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure,1,Power Failure
70,L47249,L,298.9,309.0,1410,65.7,191,1,Power Failure,1,Power Failure
78,L47257,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,1,Tool Wear Failure
161,L47340,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure,1,Overstrain Failure
162,L47341,L,298.3,308.1,1412,52.3,218,1,Overstrain Failure,1,Overstrain Failure
169,L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure,1,Power Failure
195,M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure,1,Power Failure
208,M15067,M,298.4,308.7,1421,60.7,119,1,Power Failure,1,Power Failure
243,L47422,L,298.0,308.2,1348,58.8,202,1,Overstrain Failure,1,Overstrain Failure
249,L47428,L,298.0,308.3,1362,56.8,216,1,Overstrain Failure,1,Overstrain Failure
250,L47429,L,298.0,308.3,1405,56.2,218,1,Overstrain Failure,1,Overstrain Failure
260,M15119,M,298.1,308.2,1420,63.9,19,1,Power Failure,1,Power Failure
328,L47507,L,297.7,308.5,1373,56.7,203,1,Overstrain Failure,1,Overstrain Failure
381,L47560,L,297.5,308.3,2564,12.8,127,1,Power Failure,1,Power Failure
443,L47622,L,297.4,308.5,1399,61.5,61,1,Power Failure,1,Power Failure
464,L47643,L,297.4,308.7,2874,4.2,118,1,Power Failure,1,Power Failure
587,L47766,L,297.6,309.6,1501,49.8,222,1,Overstrain Failure,1,Overstrain Failure
604,L47783,L,297.9,309.8,1336,71.6,31,1,Power Failure,1,Power Failure
747,L47926,L,296.8,308.1,1289,62.0,199,1,Overstrain Failure,1,Overstrain Failure
848,L48027,L,296.4,307.4,2833,5.6,213,1,Power Failure,1,Power Failure
881,M15740,M,295.8,306.3,1235,76.2,89,1,Power Failure,1,Power Failure
904,L48083,L,295.7,306.2,2270,14.6,149,1,Power Failure,1,Power Failure
927,L48106,L,295.6,306.1,1372,55.6,215,1,Overstrain Failure,1,Overstrain Failure
1017,M15876,M,296.3,307.2,1319,68.3,24,1,Power Failure,1,Power Failure
1086,L48265,L,297.0,307.8,1385,56.4,202,1,Overstrain Failure,1,Overstrain Failure
1088,H30501,H,296.9,307.8,1549,35.8,206,1,Tool Wear Failure,1,Tool Wear Failure
1096,L48275,L,296.9,307.5,2721,9.3,18,1,Power Failure,1,Power Failure
1124,H30537,H,296.6,307.7,1386,62.3,100,1,Power Failure,1,Power Failure
1125,M15984,M,296.7,307.8,1258,69.0,105,1,Power Failure,1,Power Failure
1145,L48324,L,297.0,307.9,1296,69.1,153,1,Power Failure,1,Power Failure
1162,L48341,L,297.0,307.8,1316,61.2,200,1,Overstrain Failure,1,Overstrain Failure
1163,L48342,L,296.9,307.8,1400,57.1,202,1,Overstrain Failure,1,Overstrain Failure
1168,L48347,L,297.0,308.1,1362,52.5,213,1,Overstrain Failure,1,Overstrain Failure
1285,L48464,L,298.4,309.5,2153,15.3,98,1,Power Failure,1,Power Failure
1325,M16184,M,298.8,310.1,1243,74.5,194,1,Power Failure,1,Power Failure
1335,L48514,L,299.0,310.4,1365,49.1,226,1,Overstrain Failure,1,Overstrain Failure
1336,L48515,L,299.0,310.4,1371,53.8,228,1,Overstrain Failure,1,Overstrain Failure
1392,L48571,L,298.9,310.2,2737,8.8,142,1,Power Failure,1,Power Failure
1420,L48599,L,298.7,309.8,1354,53.3,212,1,Overstrain Failure,1,Overstrain Failure
1438,H30851,H,298.8,309.9,1439,45.2,40,1,No Failure,1,No Failure
1493,M16352,M,298.0,308.7,1479,58.5,176,1,Power Failure,1,Power Failure
1497,L48676,L,298.0,308.7,1268,69.4,189,1,Power Failure,1,Power Failure
1510,L48689,L,298.0,308.5,1429,37.7,220,1,Tool Wear Failure,1,Tool Wear Failure
1584,L48763,L,298.2,308.4,1310,61.0,189,1,Overstrain Failure,1,Overstrain Failure
1596,L48775,L,298.0,308.2,1365,52.9,218,1,Overstrain Failure,1,Overstrain Failure
1683,H31096,H,297.9,307.4,1604,36.1,225,1,Tool Wear Failure,1,Tool Wear Failure
1764,L48943,L,298.2,307.6,1511,31.0,209,1,Tool Wear Failure,1,Tool Wear Failure
1785,L48964,L,298.3,308.0,2886,3.8,57,1,Power Failure,1,Power Failure
1790,L48969,L,298.2,307.9,1313,67.3,67,1,Power Failure,1,Power Failure
1809,L48988,L,298.1,307.7,2567,12.8,125,1,Power Failure,1,Power Failure
1834,L49013,L,297.8,307.3,1327,61.0,186,1,Overstrain Failure,1,Overstrain Failure
1997,M16856,M,298.4,308.0,1416,38.2,198,1,Tool Wear Failure,1,Tool Wear Failure
2016,L49195,L,298.5,308.2,1301,66.3,42,1,Power Failure,1,Power Failure
2076,L49255,L,299.5,309.4,1390,58.8,195,1,Overstrain Failure,1,Overstrain Failure
2126,L49305,L,299.3,308.9,1258,69.4,119,1,Power Failure,1,Power Failure
2167,M17026,M,299.6,309.2,1867,23.4,225,1,Tool Wear Failure,1,Tool Wear Failure
2234,L49413,L,299.5,308.7,2549,13.0,179,1,Power Failure,1,Power Failure
2245,M17104,M,299.3,308.4,1542,37.5,203,1,Tool Wear Failure,1,Tool Wear Failure
2300,L49479,L,299.4,308.7,1446,62.9,134,1,Power Failure,1,Power Failure
2332,L49511,L,299.3,308.6,1384,53.6,218,1,Overstrain Failure,1,Overstrain Failure
2333,L49512,L,299.2,308.5,1378,50.4,220,1,Overstrain Failure,1,Overstrain Failure
2427,M17286,M,298.9,308.2,1372,63.6,30,1,Power Failure,1,Power Failure
2445,L49624,L,299.2,308.6,1267,68.2,76,1,Power Failure,1,Power Failure
2495,L49674,L,299.1,308.8,1329,53.6,207,1,Overstrain Failure,1,Overstrain Failure
2503,L49682,L,299.2,309.0,1515,48.9,228,1,Overstrain Failure,1,Overstrain Failure
2582,L49761,L,299.2,309.1,1345,60.7,191,1,Overstrain Failure,1,Overstrain Failure
2599,L49778,L,299.1,308.8,1320,67.5,20,1,Power Failure,1,Power Failure
2672,M17531,M,299.7,309.3,1399,41.9,221,1,Tool Wear Failure,1,Tool Wear Failure
2750,M17609,M,299.7,309.2,1685,28.9,179,1,No Failure,1,No Failure
2762,L49941,L,299.8,309.3,1299,65.1,212,1,Overstrain Failure,1,Overstrain Failure
2859,L50038,L,300.5,309.3,1417,51.5,231,1,Overstrain Failure,1,Overstrain Failure
2865,H32278,H,300.6,309.4,1380,47.6,246,1,Tool Wear Failure,1,Tool Wear Failure
2880,M17739,M,300.6,309.4,1367,63.2,45,1,Power Failure,1,Power Failure
2942,M17801,M,300.7,309.6,1996,19.8,203,1,Tool Wear Failure,1,Tool Wear Failure
3001,H32414,H,300.5,309.8,1324,72.8,159,1,Power Failure,1,Power Failure
3020,L50199,L,300.5,309.8,1379,54.2,207,1,Overstrain Failure,1,Overstrain Failure
3141,H32554,H,300.4,309.9,2563,12.8,81,1,Power Failure,1,Power Failure
3237,M18096,M,300.8,309.4,1342,62.4,113,1,Heat Dissipation Failure,1,Heat Dissipation Failure
3267,L50446,L,301.3,310.1,1269,56.8,195,1,Overstrain Failure,1,Overstrain Failure
3351,L50530,L,301.4,310.8,1285,62.6,183,1,Overstrain Failure,1,Overstrain Failure
3357,L50536,L,301.6,310.8,1355,57.8,195,1,Overstrain Failure,1,Overstrain Failure
3370,L50549,L,301.5,310.9,2760,8.0,15,1,Power Failure,1,Power Failure
3458,M18317,M,301.5,310.4,2639,12.0,21,1,Power Failure,1,Power Failure
3529,L50708,L,302.0,310.9,1378,53.1,212,1,Overstrain Failure,1,Overstrain Failure
3530,L50709,L,301.9,310.9,1567,39.0,214,1,Tool Wear Failure,1,Tool Wear Failure
3580,L50759,L,301.8,310.6,2672,11.8,124,1,Power Failure,1,Power Failure
3612,L50791,L,301.7,310.9,1405,46.4,207,1,Tool Wear Failure,1,Tool Wear Failure
3685,L50864,L,302.0,311.2,1270,65.3,182,1,Overstrain Failure,1,Overstrain Failure
3696,L50875,L,302.2,311.3,1530,37.3,207,1,Tool Wear Failure,1,Tool Wear Failure
3761,L50940,L,302.3,310.9,1377,46.8,166,1,Heat Dissipation Failure,1,Heat Dissipation Failure
3788,L50967,L,302.3,310.8,1377,47.3,22,1,Heat Dissipation Failure,1,Heat Dissipation Failure
3794,L50973,L,302.3,310.9,1379,49.3,34,1,Heat Dissipation Failure,1,Heat Dissipation Failure
3807,M18666,M,302.3,310.9,1360,44.0,67,1,Heat Dissipation Failure,1,Heat Dissipation Failure
